127.0.0.1 - - [27/Jul/2017:13:47:47 +0800] "GET /templates/components/head.php HTTP/1.1" 404 36 "-" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:13:47:48 +0800] "GET /favicon.ico HTTP/1.1" 404 168 "-" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:13:47:48 +0800] "GET /favicon.ico HTTP/1.1" 404 168 "-" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:13:48:22 +0800] "GET /templates/components/head.php HTTP/1.1" 200 577 "-" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:13:48:22 +0800] "GET /templates/components/STATIC_DOMAIN/fe_public_library/bootstrap/3.3.4/css/bootstrap.min.css HTTP/1.1" 404 168 "http://www.fanshi.me/templates/components/head.php" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:13:48:22 +0800] "GET /templates/components/STATIC_DOMAIN/MODULE_NAME/css/app.min.css HTTP/1.1" 404 168 "http://www.fanshi.me/templates/components/head.php" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:14:05:34 +0800] "GET /templates/document HTTP/1.1" 404 168 "-" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:14:05:38 +0800] "GET /templates/documents HTTP/1.1" 301 184 "-" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:14:05:38 +0800] "GET /templates/documents/ HTTP/1.1" 200 743 "-" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:14:05:38 +0800] "GET /css/app.min.css HTTP/1.1" 200 44417 "http://www.fanshi.me/templates/documents/" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
127.0.0.1 - - [27/Jul/2017:14:05:39 +0800] "GET /css/documents/index.min.css HTTP/1.1" 404 168 "http://www.fanshi.me/templates/documents/" "Mozilla/5.0 (Windows NT 6.1; rv:54.0) Gecko/20100101 Firefox/54.0"
